Atom;Mass;Abund
Zr;89.9046977;0.5145
Zn;63.92914201;0.4917
Yb;173.9388664;0.32026
Y;88.9058403;1
Xe;131.9041550856;0.269086
W;183.95093092;0.3064
V;50.94395704;0.99750
Tm;168.9342179;1
Tl;204.9744278;0.7048
Ti;47.94794198;0.7372
Te;129.906222748;0.3408
Tc;96.9063667;
Tb;158.9253547;1
Ta;180.9479958;0.9998799
T;3.0160492779;
Sr;87.9056125;0.8258
Sn;119.90220163;0.3258
Sm;151.9197397;0.2675
Si;27.97692653465;0.92223
Se;79.9165218;0.4961
Sc;44.95590828;1
Sb;120.9038120;0.5721
S*;32.9714589098;0.0075
S;31.9720711744;0.9499
Ru;101.9043441;0.3155
Rh;102.9054980;1
Re;186.9557501;0.6260
Rb;84.9117897379;0.7217
Pt;194.9647917;0.3378
Pr;140.9076576;1
Po;208.9824308;
Pm;144.9127559;
Pd;105.9034804;0.2733
Pb;207.9766525;0.524
P;30.97376199842;1
Os;191.9614770;0.4078
O*;16.99913175650;0.00038
O;15.99491461957;0.99757
Ni;57.93534241;0.68077
Ne;19.9924401762;0.9048
Nd;141.9077290;0.27152
Nb;92.9063730;1
Na;22.9897692820;1
N;14.00307400443;0.99636
Mo;97.90540482;0.2439
Mn;54.93804391;1
Mg;23.985041697;0.7899
Lu;174.9407752;0.97401
Li;7.0160034366;0.9241
La;138.9063563;0.9991119
Kr;83.9114977282;0.56987
K;38.9637064864;0.932581
Ir;192.9629216;0.627
In;114.903878776;0.9571
I;126.9044719;1
Ho;164.9303288;1
Hg;201.97064340;0.2986
Hf;179.9465570;0.3508
He;4.00260325413;0.99999866
H*;2.01410177812;0.000115
H;1.00782503223;0.999885
Ge;73.921177761;0.3650
Gd;157.9241123;0.2484
Ga;68.9255735;0.60108
Fe;55.93493633;0.91754
F;18.99840316273;1
Eu;152.9212380;0.5219
Er;165.9302995;0.33503
Dy;163.9291819;0.28260
Cu;62.92959772;0.6915
Cs;132.9054519610;1
Cr;51.94050623;0.83789
Co;58.93319429;1
Cl;34.968852682;0.7576
Ce;139.9054431;0.88450
Cd;113.90336509;0.2873
Ca;39.962590863;0.96941
C;12.0000000;0.9893
Br;78.9183376;0.5069
Bi;208.9803991;1
Be;9.012183065;1
Ba;137.90524700;0.71698
B;11.00930536;0.801
Au;196.96656879;1
At;209.9871479;
As;74.92159457;1
Ar;39.9623831237;0.996035
Al;26.98153853;1
Ag;106.9050916;0.51839
